Index,LoT,Time,pH,Temp
1,1,오전 9:01:18,1.02,47.87
2,1,오전 9:01:23,1.03,48.45
3,1,오전 9:01:28,1.06,48.58
4,1,오전 9:01:33,1.09,48.79
5,1,오전 9:01:38,1.12,48.87
6,1,오전 9:01:43,1.14,48.89
7,1,오전 9:01:48,1.15,48.91
8,1,오전 9:01:53,1.17,48.95
9,1,오전 9:01:58,1.21,48.99
10,1,오전 9:02:03,1.23,49.01
11,1,오전 9:02:08,1.24,49.08
12,1,오전 9:02:13,1.38,49.1
13,1,오전 9:02:18,1.43,49.14
14,1,오전 9:02:23,1.46,49.18
15,1,오전 9:02:28,1.52,49.22
16,1,오전 9:02:33,1.55,49.26
17,1,오전 9:02:38,1.55,49.29
18,1,오전 9:02:43,1.56,49.33
19,1,오전 9:02:48,1.57,49.33
20,1,오전 9:02:53,1.57,49.38
21,1,오전 9:02:58,1.58,49.45
22,1,오전 9:03:03,1.64,49.49
23,1,오전 9:03:08,1.65,49.63
24,1,오전 9:03:13,1.67,49.67
25,1,오전 9:03:18,1.7,49.74
26,1,오전 9:03:23,1.76,49.79
27,1,오전 9:03:28,1.77,49.8
28,1,오전 9:03:33,1.81,49.98
29,1,오전 9:03:39,1.82,50.05
30,1,오전 9:03:44,1.85,50.11
31,1,오전 9:03:49,1.91,50.13
32,1,오전 9:03:54,1.91,50.14
33,1,오전 9:03:59,1.95,50.21
34,1,오전 9:04:04,1.97,50.28
35,1,오전 9:04:09,1.99,50.33
36,1,오전 9:04:14,2.01,50.35
37,1,오전 9:04:19,2.04,50.37
38,1,오전 9:04:24,2.04,50.42
39,1,오전 9:04:29,2.08,50.44
40,1,오전 9:04:34,2.13,50.49
41,1,오전 9:04:39,2.17,50.55
42,1,오전 9:04:44,2.24,50.57
43,1,오전 9:04:49,2.25,50.58
44,1,오전 9:04:54,2.32,50.6
45,1,오전 9:04:59,2.33,50.64
46,1,오전 9:05:04,2.34,50.65
47,1,오전 9:05:09,2.35,50.68
48,1,오전 9:05:14,2.37,50.72
49,1,오전 9:05:19,2.38,50.75
50,1,오전 9:05:24,2.38,50.76
51,1,오전 9:05:29,2.41,50.77
52,1,오전 9:05:34,2.46,50.78
53,1,오전 9:05:39,2.56,50.8
54,1,오전 9:05:44,2.64,50.87
55,1,오전 9:05:49,2.64,50.96
56,1,오전 9:05:54,2.65,51.02
57,1,오전 9:05:59,2.67,51.05
58,1,오전 9:06:04,2.69,51.11
59,1,오전 9:06:09,2.72,51.2
60,1,오전 9:06:14,2.73,51.2
61,1,오전 9:06:19,2.75,51.35
