Index,LoT,Time,pH,Temp
1,1,오전 9:01:18,1.02,47.18
2,1,오전 9:01:23,1.05,47.34
3,1,오전 9:01:28,1.09,48.45
4,1,오전 9:01:33,1.12,48.46
5,1,오전 9:01:38,1.15,48.47
6,1,오전 9:01:43,1.16,48.49
7,1,오전 9:01:48,1.22,48.67
8,1,오전 9:01:53,1.29,48.72
9,1,오전 9:01:58,1.35,48.79
10,1,오전 9:02:03,1.37,48.95
11,1,오전 9:02:08,1.4,48.99
12,1,오전 9:02:13,1.42,49
13,1,오전 9:02:18,1.43,49.01
14,1,오전 9:02:23,1.48,49.05
15,1,오전 9:02:28,1.5,49.14
16,1,오전 9:02:33,1.57,49.24
17,1,오전 9:02:38,1.61,49.24
18,1,오전 9:02:43,1.64,49.24
19,1,오전 9:02:48,1.66,49.32
20,1,오전 9:02:53,1.67,49.34
21,1,오전 9:02:58,1.68,49.36
22,1,오전 9:03:03,1.71,49.43
23,1,오전 9:03:08,1.71,49.44
24,1,오전 9:03:13,1.75,49.52
25,1,오전 9:03:18,1.77,49.55
26,1,오전 9:03:23,1.81,49.59
27,1,오전 9:03:28,1.85,49.64
28,1,오전 9:03:33,1.89,49.73
29,1,오전 9:03:39,1.89,49.74
30,1,오전 9:03:44,1.9,49.79
31,1,오전 9:03:49,1.92,49.81
32,1,오전 9:03:54,1.92,49.83
33,1,오전 9:03:59,1.92,49.88
34,1,오전 9:04:04,1.93,50.03
35,1,오전 9:04:09,1.94,50.07
36,1,오전 9:04:14,1.97,50.07
37,1,오전 9:04:19,1.97,50.18
38,1,오전 9:04:24,1.98,50.19
39,1,오전 9:04:29,2.01,50.35
40,1,오전 9:04:34,2.07,50.39
41,1,오전 9:04:39,2.08,50.43
42,1,오전 9:04:44,2.12,50.46
43,1,오전 9:04:49,2.13,50.47
44,1,오전 9:04:54,2.14,50.48
45,1,오전 9:04:59,2.15,50.52
46,1,오전 9:05:04,2.18,50.52
47,1,오전 9:05:09,2.2,50.54
48,1,오전 9:05:14,2.2,50.58
49,1,오전 9:05:19,2.21,50.59
50,1,오전 9:05:24,2.23,50.65
51,1,오전 9:05:29,2.23,50.65
52,1,오전 9:05:34,2.25,50.66
