Date,LoT,Process Rate
2021-09-17,18,96.59
2021-09-17,19,95.85
2021-09-17,20,95.86
2021-09-17,21,95.57
2021-09-17,22,96.67
2021-09-23,1,96.54
2021-09-23,2,96.08
2021-09-23,3,96.09
2021-09-23,4,97.22
2021-09-23,5,95.76
2021-09-23,6,96.24
2021-09-23,7,96.87
2021-09-23,8,96.16
2021-09-23,9,96.02
2021-09-23,10,96.34
2021-09-23,11,96.31
2021-09-23,12,95.81
2021-09-23,13,96.19
2021-09-23,14,96.26
2021-09-23,15,95.88
2021-09-23,16,96.03
2021-09-23,17,96.6
2021-09-23,18,96.5
2021-09-23,19,96.36
2021-09-23,20,96.88
2021-09-23,21,95.87
2021-09-23,22,97.02
2021-09-24,1,82.56
2021-09-24,2,81.66
2021-09-24,3,95.88
2021-09-24,4,96.06
2021-09-24,5,96.73
2021-09-24,6,96.11
2021-09-24,7,96.48
2021-09-24,8,96.25
2021-09-24,9,96.07
2021-09-24,10,96.3
2021-09-24,11,95.98
2021-09-24,12,96.46
2021-09-24,13,95.96
2021-09-24,14,96.57
2021-09-24,15,96.54
2021-09-24,16,97.4
2021-09-24,17,96.69
2021-09-24,18,97.32
2021-09-24,19,96.59
2021-09-24,20,96.53
2021-09-24,21,96.82
2021-09-24,22,96.16
2021-09-27,1,96.35
2021-09-27,2,82.56
2021-09-27,3,81.66
2021-09-27,4,96.63
2021-09-27,5,96.64
2021-09-27,6,95.79
2021-09-27,7,95.88
2021-09-27,8,96.64
2021-09-27,9,96.69
2021-09-27,10,96.23
2021-09-27,11,96.9
2021-09-27,12,95.95
2021-09-27,13,96.03
2021-09-27,14,95.97
2021-09-27,15,96.44
2021-09-27,16,95.57
2021-09-27,17,96.52
2021-09-27,18,96.33
2021-09-27,19,96.72
2021-09-27,20,96
2021-09-27,21,97.35
2021-09-27,22,96.01
2021-09-28,1,96.89
2021-09-28,2,96.28
2021-09-28,3,97.4
2021-09-28,4,96.83
2021-09-28,5,96.01
2021-09-28,6,97.06
2021-09-28,7,96.19
2021-09-28,8,97.26
2021-09-28,9,95.83
2021-09-28,10,97.26
2021-09-28,11,96.54
2021-09-28,12,96.11
2021-09-28,13,96.11
2021-09-28,14,96
2021-09-28,15,95.93
2021-09-28,16,96.67
2021-09-28,17,96.01
2021-09-28,18,95.86
2021-09-28,19,96.12
2021-09-28,20,96.08
2021-09-28,21,95.91
2021-09-28,22,96.71
2021-09-29,1,81.35
2021-09-29,2,83.92
2021-09-29,3,82.24
2021-09-29,4,96.15
2021-09-29,5,96.79
2021-09-29,6,96.18
2021-09-29,7,96.96
2021-09-29,8,97.36
2021-09-29,9,96.7
2021-09-29,10,97.2
2021-09-29,11,96.43
2021-09-29,12,96.28
2021-09-29,13,96.11
2021-09-29,14,96.57
2021-09-29,15,96.05
2021-09-29,16,96.4
2021-09-29,17,96.1
2021-09-29,18,96.44
2021-09-29,19,96.62
2021-09-29,20,96.91
2021-09-29,21,96.17
2021-09-29,22,95.88
2021-09-30,1,96.04
2021-09-30,2,96.17
2021-09-30,3,96.01
2021-09-30,4,96.62
2021-09-30,5,97.01
2021-09-30,6,95.77
2021-09-30,7,96.25
2021-09-30,8,96.41
2021-09-30,9,96.22
2021-09-30,10,96.65
2021-09-30,11,97.32
2021-09-30,12,95.73
2021-09-30,13,95.89
2021-09-30,14,96.03
2021-09-30,15,96.33
2021-09-30,16,96.65
2021-09-30,17,96.32
2021-09-30,18,96.51
2021-09-30,19,97.29
2021-09-30,20,96
2021-09-30,21,96.13
2021-09-30,22,97.12
2021-10-01,1,97.66
2021-10-01,2,98.21
2021-10-01,3,96.91
2021-10-01,4,97.3
2021-10-01,5,97.27
2021-10-01,6,96.41
2021-10-01,7,98.05
2021-10-01,8,97.25
2021-10-01,9,98.15
2021-10-01,10,96.42
2021-10-01,11,97.43
2021-10-01,12,96.13
2021-10-01,13,97.42
2021-10-01,14,98.27
2021-10-01,15,97.84
2021-10-01,16,97.1
2021-10-01,17,97.8
2021-10-01,18,97.69
2021-10-01,19,96.28
2021-10-01,20,96.52
2021-10-01,21,97.59
2021-10-01,22,98.31
2021-10-05,1,83.78
2021-10-05,2,82.73
2021-10-05,3,96.88
2021-10-05,4,98.06
2021-10-05,5,97.2
2021-10-05,6,97.17
2021-10-05,7,97.8
2021-10-05,8,97.24
2021-10-05,9,96.07
2021-10-05,10,97.31
2021-10-05,11,97.41
2021-10-05,12,97.91
2021-10-05,13,97.94
2021-10-05,14,97
2021-10-05,15,96.16
2021-10-05,16,97.55
2021-10-05,17,96.12
2021-10-05,18,97.2
2021-10-05,19,97.32
2021-10-05,20,96.53
2021-10-05,21,96.58
2021-10-05,22,98.01
2021-10-06,1,83.03
2021-10-06,2,98.16
2021-10-06,3,97.14
2021-10-06,4,97.2
2021-10-06,5,96.26
2021-10-06,6,97.76
2021-10-06,7,97.85
2021-10-06,8,97.96
2021-10-06,9,97.39
2021-10-06,10,97.31
2021-10-06,11,97.37
2021-10-06,12,96.76
2021-10-06,13,97.49
2021-10-06,14,97.14
2021-10-06,15,97.95
2021-10-06,16,98.25
2021-10-06,17,97.79
2021-10-06,18,97.39
2021-10-06,19,97.77
2021-10-06,20,98.35
2021-10-06,21,97.07
2021-10-06,22,97.65
2021-10-07,1,84.19
2021-10-07,2,83.07
2021-10-07,3,97.66
2021-10-07,4,96.34
2021-10-07,5,96.13
2021-10-07,6,97.34
2021-10-07,7,97.99
2021-10-07,8,97.61
2021-10-07,9,97.01
2021-10-07,10,97.96
2021-10-07,11,96.08
2021-10-07,12,96.26
2021-10-07,13,97.72
2021-10-07,14,96.76
2021-10-07,15,96.99
2021-10-07,16,96.4
