Index,LoT,Time,pH,Temp
1,1,오전 9:01:10,1.02,48.16
2,1,오전 9:01:15,1.03,48.29
3,1,오전 9:01:20,1.09,48.64
4,1,오전 9:01:25,1.18,48.67
5,1,오전 9:01:30,1.21,48.7
6,1,오전 9:01:35,1.24,48.74
7,1,오전 9:01:40,1.25,48.77
8,1,오전 9:01:45,1.29,48.84
9,1,오전 9:01:50,1.29,48.91
10,1,오전 9:01:55,1.3,48.93
11,1,오전 9:02:00,1.39,48.96
12,1,오전 9:02:05,1.39,49.1
13,1,오전 9:02:10,1.4,49.2
14,1,오전 9:02:15,1.41,49.25
15,1,오전 9:02:20,1.42,49.26
16,1,오전 9:02:25,1.49,49.35
17,1,오전 9:02:30,1.49,49.37
18,1,오전 9:02:35,1.5,49.39
19,1,오전 9:02:40,1.52,49.4
20,1,오전 9:02:45,1.52,49.44
21,1,오전 9:02:50,1.54,49.47
22,1,오전 9:02:55,1.56,49.51
23,1,오전 9:03:00,1.6,49.53
24,1,오전 9:03:05,1.68,49.57
25,1,오전 9:03:10,1.68,49.61
26,1,오전 9:03:15,1.71,49.62
27,1,오전 9:03:20,1.79,49.65
28,1,오전 9:03:25,1.79,49.73
29,1,오전 9:03:30,1.88,49.73
30,1,오전 9:03:35,1.89,49.8
31,1,오전 9:03:40,1.91,49.8
32,1,오전 9:03:45,1.95,49.87
33,1,오전 9:03:50,1.96,49.9
34,1,오전 9:03:55,2,49.97
35,1,오전 9:04:00,2.01,50.01
36,1,오전 9:04:05,2.01,50.02
37,1,오전 9:04:10,2.14,50.03
38,1,오전 9:04:15,2.17,50.09
39,1,오전 9:04:20,2.2,50.17
40,1,오전 9:04:25,2.26,50.2
41,1,오전 9:04:30,2.29,50.23
42,1,오전 9:04:35,2.29,50.24
43,1,오전 9:04:40,2.31,50.26
44,1,오전 9:04:45,2.32,50.41
45,1,오전 9:04:50,2.33,50.41
46,1,오전 9:04:55,2.36,50.41
47,1,오전 9:05:00,2.37,50.5
48,1,오전 9:05:05,2.41,50.54
