Index,LoT,Time,pH,Temp
1,1,오전 9:01:37,1.07,46.3
2,1,오전 9:01:42,1.08,47.56
3,1,오전 9:01:47,1.11,47.88
4,1,오전 9:01:52,1.13,48.04
5,1,오전 9:01:57,1.16,48.09
6,1,오전 9:02:02,1.17,48.25
7,1,오전 9:02:07,1.24,48.3
8,1,오전 9:02:12,1.25,48.38
9,1,오전 9:02:17,1.27,48.56
10,1,오전 9:02:22,1.32,48.57
11,1,오전 9:02:28,1.34,48.58
12,1,오전 9:02:33,1.35,48.76
13,1,오전 9:02:38,1.35,48.78
14,1,오전 9:02:43,1.36,48.86
15,1,오전 9:02:48,1.39,48.94
16,1,오전 9:02:53,1.6,48.96
17,1,오전 9:02:58,1.6,48.99
18,1,오전 9:03:03,1.6,49.03
19,1,오전 9:03:08,1.61,49.04
20,1,오전 9:03:13,1.64,49.06
21,1,오전 9:03:18,1.66,49.06
22,1,오전 9:03:23,1.67,49.13
23,1,오전 9:03:28,1.67,49.18
24,1,오전 9:03:33,1.68,49.26
25,1,오전 9:03:38,1.69,49.4
26,1,오전 9:03:43,1.7,49.51
27,1,오전 9:03:48,1.76,49.58
28,1,오전 9:03:53,1.76,49.58
29,1,오전 9:03:58,1.77,49.61
30,1,오전 9:04:03,1.8,49.62
31,1,오전 9:04:09,1.8,49.69
32,1,오전 9:04:14,1.8,49.83
33,1,오전 9:04:19,1.8,49.87
34,1,오전 9:04:24,1.87,49.88
35,1,오전 9:04:29,1.95,49.88
36,1,오전 9:04:34,1.96,49.92
37,1,오전 9:04:39,1.96,49.93
38,1,오전 9:04:44,2.05,50.03
39,1,오전 9:04:49,2.06,50.03
40,1,오전 9:04:54,2.1,50.08
41,1,오전 9:04:59,2.11,50.1
42,1,오전 9:05:04,2.12,50.12
43,1,오전 9:05:09,2.13,50.17
44,1,오전 9:05:14,2.14,50.23
45,1,오전 9:05:19,2.19,50.31
46,1,오전 9:05:24,2.21,50.39
47,1,오전 9:05:29,2.22,50.44
48,1,오전 9:05:34,2.28,50.47
49,1,오전 9:05:39,2.29,50.58
50,1,오전 9:05:44,2.34,50.65
51,1,오전 9:05:50,2.35,50.72
52,1,오전 9:05:55,2.39,50.73
53,1,오전 9:06:00,2.51,50.77
54,1,오전 9:06:05,2.57,50.88
55,1,오전 9:06:10,2.59,50.89
56,1,오전 9:06:15,2.6,50.9
57,1,오전 9:06:20,2.61,50.9
58,1,오전 9:06:25,2.61,50.9
59,1,오전 9:06:30,2.61,51
60,1,오전 9:06:35,2.62,51.07
61,1,오전 9:06:40,2.66,51.17
62,1,오전 9:06:45,2.75,51.21
63,1,오전 9:06:50,2.78,51.24
64,1,오전 9:06:55,2.82,51.59
65,1,오전 9:07:00,3.31,43.86
66,1,오전 9:07:05,3.12,42.59
67,1,오전 9:07:10,3.2,41.14
68,1,오전 9:07:15,3.75,41.36
69,1,오전 9:07:20,3.06,41.87
70,2,오전 9:07:52,1.08,47.2
71,2,오전 9:07:57,1.09,47.68
72,2,오전 9:08:02,1.11,47.68
73,2,오전 9:08:07,1.13,48.22
74,2,오전 9:08:12,1.13,48.44
75,2,오전 9:08:17,1.17,48.6
76,2,오전 9:08:22,1.24,48.73
77,2,오전 9:08:27,1.35,49.1
78,2,오전 9:08:32,1.47,49.12
79,2,오전 9:08:37,1.55,49.17
80,2,오전 9:08:42,1.55,49.25
81,2,오전 9:08:47,1.61,49.29
82,2,오전 9:08:52,1.65,49.3
83,2,오전 9:08:57,1.67,49.31
84,2,오전 9:09:02,1.68,49.52
85,2,오전 9:09:07,1.74,49.52
86,2,오전 9:09:12,1.74,49.53
87,2,오전 9:09:17,1.76,49.56
88,2,오전 9:09:22,1.77,49.56
89,2,오전 9:09:27,1.83,49.58
90,2,오전 9:09:32,1.83,49.61
91,2,오전 9:09:37,1.84,49.61
92,2,오전 9:09:42,1.85,49.62
93,2,오전 9:09:47,1.85,49.64
94,2,오전 9:09:52,1.89,49.65
95,2,오전 9:09:57,1.89,49.67
96,2,오전 9:10:02,1.92,49.67
97,2,오전 9:10:07,1.92,49.7
98,2,오전 9:10:12,1.97,49.8
99,2,오전 9:10:17,1.98,49.83
100,2,오전 9:10:22,2,49.94
101,2,오전 9:10:27,2.04,50.07
102,2,오전 9:10:32,2.06,50.11
103,2,오전 9:10:37,2.1,50.13
104,2,오전 9:10:42,2.11,50.14
105,2,오전 9:10:47,2.12,50.16
106,2,오전 9:10:52,2.12,50.17
107,2,오전 9:10:57,2.17,50.21
108,2,오전 9:11:02,2.21,50.22
109,2,오전 9:11:07,2.22,50.27
110,2,오전 9:11:12,2.26,50.3
111,2,오전 9:11:17,2.3,50.34
112,2,오전 9:11:23,2.3,50.36
113,2,오전 9:11:28,2.31,50.49
114,2,오전 9:11:33,2.31,50.52
115,2,오전 9:11:38,2.36,50.53
116,2,오전 9:11:43,2.37,50.57
117,2,오전 9:11:48,2.37,50.64
118,2,오전 9:11:53,2.39,50.64
119,2,오전 9:11:58,2.4,50.64
120,2,오전 9:12:03,2.4,50.76
121,2,오전 9:12:08,2.46,50.79
122,2,오전 9:12:13,2.46,50.82
123,2,오전 9:12:18,2.46,50.82
124,2,오전 9:12:23,2.46,50.87
125,2,오전 9:12:28,2.53,50.94
126,2,오전 9:12:33,2.53,51.02
127,2,오전 9:12:38,2.54,51.05
128,2,오전 9:12:43,2.56,51.2
129,2,오전 9:12:48,2.61,51.24
130,2,오전 9:12:53,2.62,51.27
131,2,오전 9:12:58,2.62,51.27
132,2,오전 9:13:03,2.71,51.28
133,2,오전 9:13:08,3.62,41.63
134,2,오전 9:13:13,3.85,41.07
135,2,오전 9:13:18,3.2,42.19
136,2,오전 9:13:23,3.53,43.4
137,2,오전 9:13:28,3.31,41.69
138,2,오전 9:13:09,3.64,42.6
139,3,오전 9:13:37,1.01,47.56
140,3,오전 9:13:42,1.06,47.89
141,3,오전 9:13:47,1.09,48.04
142,3,오전 9:13:52,1.12,48.49
143,3,오전 9:13:57,1.14,48.56
