Index,LoT,Time,pH,Temp
1,1,오전 9:01:42,1.01,47.45
2,1,오전 9:01:47,1.05,47.9
3,1,오전 9:01:52,1.09,48.1
4,1,오전 9:01:57,1.12,48.38
5,1,오전 9:02:02,1.15,48.43
6,1,오전 9:02:07,1.15,48.6
7,1,오전 9:02:12,1.17,48.67
8,1,오전 9:02:17,1.18,48.68
9,1,오전 9:02:22,1.19,48.71
10,1,오전 9:02:27,1.24,48.71
11,1,오전 9:02:32,1.25,48.82
12,1,오전 9:02:37,1.25,49
13,1,오전 9:02:42,1.28,49.02
14,1,오전 9:02:47,1.31,49.03
15,1,오전 9:02:52,1.33,49.04
16,1,오전 9:02:57,1.34,49.22
17,1,오전 9:03:02,1.44,49.3
18,1,오전 9:03:07,1.45,49.39
19,1,오전 9:03:12,1.46,49.43
20,1,오전 9:03:17,1.51,49.52
21,1,오전 9:03:22,1.51,49.53
22,1,오전 9:03:27,1.53,49.56
23,1,오전 9:03:32,1.54,49.57
24,1,오전 9:03:37,1.57,49.57
25,1,오전 9:03:42,1.59,49.58
26,1,오전 9:03:47,1.61,49.64
27,1,오전 9:03:52,1.61,49.65
28,1,오전 9:03:57,1.62,49.69
29,1,오전 9:04:02,1.65,49.72
30,1,오전 9:04:07,1.7,49.72
31,1,오전 9:04:12,1.73,49.77
32,1,오전 9:04:17,1.74,49.78
33,1,오전 9:04:22,1.77,49.79
34,1,오전 9:04:27,1.77,49.8
35,1,오전 9:04:32,1.81,49.82
36,1,오전 9:04:37,1.82,49.82
37,1,오전 9:04:42,1.84,49.85
38,1,오전 9:04:47,1.88,49.89
39,1,오전 9:04:52,1.88,49.92
40,1,오전 9:04:57,1.89,49.99
41,1,오전 9:05:02,1.89,50
42,1,오전 9:05:07,1.91,50
43,1,오전 9:05:13,1.95,50.04
44,1,오전 9:05:18,1.96,50.11
45,1,오전 9:05:23,1.98,50.19
46,1,오전 9:05:28,2,50.23
47,1,오전 9:05:33,2.02,50.26
48,1,오전 9:05:38,2.05,50.33
49,1,오전 9:05:43,2.12,50.4
50,1,오전 9:05:48,2.13,50.42
51,1,오전 9:05:53,2.15,50.42
52,1,오전 9:05:58,2.2,50.44
53,1,오전 9:06:03,2.25,50.54
54,1,오전 9:06:08,2.3,50.63
55,1,오전 9:06:13,2.48,50.75
56,1,오전 9:06:18,2.58,50.83
57,1,오전 9:06:23,2.62,50.86
