Index,LoT,Time,pH,Temp
1,1,오전 9:01:18,1.07,47.95
2,1,오전 9:01:23,1.14,47.99
3,1,오전 9:01:28,1.15,48.3
4,1,오전 9:01:33,1.2,48.39
5,1,오전 9:01:38,1.23,48.47
6,1,오전 9:01:43,1.23,48.73
7,1,오전 9:01:48,1.24,48.74
8,1,오전 9:01:53,1.26,48.82
9,1,오전 9:01:58,1.3,48.87
10,1,오전 9:02:03,1.31,48.9
11,1,오전 9:02:08,1.36,48.95
12,1,오전 9:02:13,1.37,48.97
13,1,오전 9:02:18,1.38,49
14,1,오전 9:02:23,1.44,49.07
15,1,오전 9:02:28,1.5,49.09
16,1,오전 9:02:33,1.55,49.11
17,1,오전 9:02:38,1.6,49.15
18,1,오전 9:02:43,1.62,49.15
19,1,오전 9:02:48,1.7,49.16
20,1,오전 9:02:53,1.7,49.22
21,1,오전 9:02:58,1.74,49.24
22,1,오전 9:03:03,1.76,49.27
23,1,오전 9:03:08,1.8,49.29
24,1,오전 9:03:13,1.8,49.32
25,1,오전 9:03:18,1.84,49.36
26,1,오전 9:03:23,1.85,49.43
27,1,오전 9:03:28,1.88,49.5
28,1,오전 9:03:33,1.89,49.61
29,1,오전 9:03:39,1.91,49.61
30,1,오전 9:03:44,1.94,49.67
31,1,오전 9:03:49,1.96,49.68
32,1,오전 9:03:54,1.97,49.7
33,1,오전 9:03:59,2,49.71
34,1,오전 9:04:04,2.01,49.82
35,1,오전 9:04:09,2.04,49.85
36,1,오전 9:04:14,2.05,49.9
37,1,오전 9:04:19,2.07,49.92
38,1,오전 9:04:24,2.07,50.01
39,1,오전 9:04:29,2.11,50.03
40,1,오전 9:04:34,2.12,50.04
41,1,오전 9:04:39,2.12,50.04
42,1,오전 9:04:44,2.12,50.06
43,1,오전 9:04:49,2.12,50.08
44,1,오전 9:04:54,2.13,50.11
45,1,오전 9:04:59,2.13,50.11
46,1,오전 9:05:04,2.15,50.12
47,1,오전 9:05:09,2.19,50.15
48,1,오전 9:05:14,2.21,50.2
49,1,오전 9:05:19,2.21,50.21
50,1,오전 9:05:24,2.24,50.26
51,1,오전 9:05:29,2.26,50.43
52,1,오전 9:05:34,2.3,50.5
53,1,오전 9:05:39,2.35,50.58
54,1,오전 9:05:44,2.37,50.58
55,1,오전 9:05:49,2.44,50.63
56,1,오전 9:05:54,2.5,50.76
57,1,오전 9:05:59,2.54,50.96
58,1,오전 9:06:04,2.56,51.03
59,1,오전 9:06:09,2.59,51.05
60,1,오전 9:06:14,2.61,51.05
61,1,오전 9:06:19,2.63,51.06
62,1,오전 9:06:24,2.66,51.26
63,1,오전 9:06:29,2.83,51.28
64,1,오전 9:06:34,2.86,51.31
65,1,오전 9:06:39,3.92,42.66
66,1,오전 9:06:44,3.41,41.91
67,1,오전 9:06:49,3.38,42
68,1,오전 9:06:54,3.09,43.2
69,1,오전 9:06:59,3.64,41.7
70,2,오전 9:07:35,1.09,47.98
71,2,오전 9:07:40,1.11,48.7
72,2,오전 9:07:45,1.28,48.8
73,2,오전 9:07:50,1.28,48.88
74,2,오전 9:07:55,1.29,48.97
75,2,오전 9:08:00,1.3,49.01
76,2,오전 9:08:05,1.31,49.03
77,2,오전 9:08:10,1.32,49.05
78,2,오전 9:08:15,1.33,49.06
79,2,오전 9:08:20,1.34,49.2
80,2,오전 9:08:25,1.37,49.2
81,2,오전 9:08:30,1.37,49.22
82,2,오전 9:08:35,1.42,49.33
83,2,오전 9:08:40,1.43,49.42
84,2,오전 9:08:45,1.46,49.42
85,2,오전 9:08:50,1.51,49.46
86,2,오전 9:08:55,1.53,49.47
87,2,오전 9:09:00,1.53,49.48
88,2,오전 9:09:05,1.56,49.53
89,2,오전 9:09:10,1.57,49.57
90,2,오전 9:09:15,1.59,49.61
91,2,오전 9:09:20,1.62,49.64
92,2,오전 9:09:25,1.63,49.7
93,2,오전 9:09:30,1.66,49.73
94,2,오전 9:09:35,1.71,49.78
95,2,오전 9:09:40,1.74,49.83
96,2,오전 9:09:45,1.79,49.84
97,2,오전 9:09:50,1.81,49.87
98,2,오전 9:09:55,1.86,49.88
99,2,오전 9:10:00,1.92,49.91
100,2,오전 9:10:05,1.94,49.93
101,2,오전 9:10:10,1.98,49.93
102,2,오전 9:10:15,1.99,49.93
103,2,오전 9:10:20,1.99,49.97
104,2,오전 9:10:25,2.05,49.97
105,2,오전 9:10:30,2.11,49.97
106,2,오전 9:10:35,2.16,50
107,2,오전 9:10:40,2.17,50
108,2,오전 9:10:45,2.19,50.05
109,2,오전 9:10:50,2.22,50.12
110,2,오전 9:10:55,2.26,50.17
111,2,오전 9:11:00,2.26,50.24
112,2,오전 9:11:06,2.28,50.24
113,2,오전 9:11:11,2.29,50.31
114,2,오전 9:11:16,2.29,50.38
115,2,오전 9:11:21,2.31,50.39
116,2,오전 9:11:26,2.32,50.44
117,2,오전 9:11:31,2.32,50.46
118,2,오전 9:11:36,2.33,50.49
119,2,오전 9:11:41,2.34,50.5
120,2,오전 9:11:46,2.4,50.51
121,2,오전 9:11:51,2.45,50.52
122,2,오전 9:11:56,2.45,50.53
123,2,오전 9:12:01,2.46,50.55
124,2,오전 9:12:06,2.51,50.56
125,2,오전 9:12:11,2.51,50.67
126,2,오전 9:12:16,2.52,50.71
127,2,오전 9:12:21,2.54,50.78
128,2,오전 9:12:26,2.57,50.79
129,2,오전 9:12:31,2.57,50.79
130,2,오전 9:12:36,2.58,51.25
131,2,오전 9:12:41,2.6,51.28
132,2,오전 9:12:46,3.17,42.67
133,2,오전 9:12:51,3.71,40.83
134,2,오전 9:12:56,3.39,42.44
135,2,오전 9:13:01,3.92,42.71
136,2,오전 9:13:06,3.85,42.09
137,2,오전 9:13:11,3.13,42.98
138,2,오전 9:12:45,3.81,42.19
139,3,오전 9:13:16,1.02,47.84
140,3,오전 9:13:21,1.04,47.98
141,3,오전 9:13:26,1.08,48.32
142,3,오전 9:13:31,1.13,48.39
143,3,오전 9:13:36,1.16,48.42
144,3,오전 9:13:41,1.22,48.44
145,3,오전 9:13:46,1.29,48.51
146,3,오전 9:13:51,1.29,48.53
147,3,오전 9:13:56,1.3,48.55
148,3,오전 9:14:01,1.33,48.69
149,3,오전 9:14:06,1.35,48.71
150,3,오전 9:14:11,1.37,48.75
151,3,오전 9:14:16,1.37,48.78
152,3,오전 9:14:21,1.48,48.79
153,3,오전 9:14:26,1.49,48.85
154,3,오전 9:14:31,1.5,48.89
155,3,오전 9:14:36,1.51,48.95
156,3,오전 9:14:41,1.61,48.98
157,3,오전 9:14:46,1.64,48.99
158,3,오전 9:14:51,1.66,49.13
159,3,오전 9:14:56,1.66,49.19
160,3,오전 9:15:01,1.69,49.22
161,3,오전 9:15:06,1.76,49.28
162,3,오전 9:15:11,1.77,49.33
163,3,오전 9:15:16,1.78,49.44
164,3,오전 9:15:21,1.79,49.45
165,3,오전 9:15:27,1.83,49.56
166,3,오전 9:15:32,1.84,49.57
167,3,오전 9:15:37,1.89,49.59
168,3,오전 9:15:42,1.93,49.63
169,3,오전 9:15:47,1.96,49.66
170,3,오전 9:15:52,1.96,49.67
171,3,오전 9:15:57,1.97,49.72
172,3,오전 9:16:02,1.98,49.82
173,3,오전 9:16:07,2,49.84
174,3,오전 9:16:12,2.01,49.88
175,3,오전 9:16:17,2.03,49.94
176,3,오전 9:16:22,2.06,49.99
177,3,오전 9:16:27,2.08,49.99
178,3,오전 9:16:32,2.1,50.04
179,3,오전 9:16:37,2.11,50.07
180,3,오전 9:16:42,2.14,50.11
181,3,오전 9:16:47,2.14,50.14
182,3,오전 9:16:52,2.14,50.19
183,3,오전 9:16:57,2.18,50.21
184,3,오전 9:17:02,2.19,50.22
185,3,오전 9:17:07,2.2,50.28
186,3,오전 9:17:12,2.21,50.28
187,3,오전 9:17:17,2.23,50.42
188,3,오전 9:17:22,2.23,50.42
189,3,오전 9:17:27,2.24,50.5
190,3,오전 9:17:32,2.25,50.59
191,3,오전 9:17:37,2.3,50.59
192,3,오전 9:17:42,2.38,50.64
193,3,오전 9:17:47,2.39,50.67
194,3,오전 9:17:52,2.47,50.73
195,3,오전 9:17:57,2.54,50.8
196,3,오전 9:18:02,2.55,50.82
197,3,오전 9:18:07,2.58,50.87
198,3,오전 9:18:12,2.59,51.03
199,3,오전 9:18:17,2.65,51.06
200,3,오전 9:18:22,2.67,51.07
201,3,오전 9:18:27,2.74,51.07
202,3,오전 9:18:32,2.77,51.23
203,3,오전 9:18:37,2.84,51.36
204,3,오전 9:18:42,2.86,51.37
205,3,오전 9:18:47,2.94,51.42
206,3,오전 9:18:52,2.95,51.58
207,3,오전 9:18:57,2.96,51.83
208,4,오전 9:19:32,1.02,47.12
209,4,오전 9:19:37,1.06,47.8
210,4,오전 9:19:42,1.18,47.92
211,4,오전 9:19:47,1.19,48.48
212,4,오전 9:19:52,1.29,48.75
213,4,오전 9:19:57,1.33,48.76
214,4,오전 9:20:02,1.43,48.77
215,4,오전 9:20:07,1.44,49.01
216,4,오전 9:20:12,1.46,49.15
217,4,오전 9:20:17,1.49,49.21
218,4,오전 9:20:22,1.54,49.23
219,4,오전 9:20:27,1.57,49.23
220,4,오전 9:20:32,1.59,49.28
221,4,오전 9:20:37,1.62,49.3
222,4,오전 9:20:42,1.62,49.32
223,4,오전 9:20:47,1.63,49.37
224,4,오전 9:20:52,1.66,49.42
225,4,오전 9:20:57,1.67,49.44
226,4,오전 9:21:02,1.68,49.48
227,4,오전 9:21:07,1.69,49.49
228,4,오전 9:21:12,1.71,49.5
229,4,오전 9:21:17,1.72,49.5
230,4,오전 9:21:22,1.75,49.52
231,4,오전 9:21:27,1.76,49.63
232,4,오전 9:21:32,1.77,49.64
233,4,오전 9:21:37,1.78,49.67
234,4,오전 9:21:42,1.79,49.76
235,4,오전 9:21:47,1.81,49.78
236,4,오전 9:21:52,1.83,49.78
237,4,오전 9:21:57,1.84,49.79
238,4,오전 9:22:02,1.84,49.83
239,4,오전 9:22:07,1.86,49.86
240,4,오전 9:22:12,1.98,49.94
241,4,오전 9:22:17,1.99,49.97
242,4,오전 9:22:22,2.03,50
243,4,오전 9:22:27,2.04,50
244,4,오전 9:22:32,2.05,50.03
245,4,오전 9:22:37,2.07,50.03
246,4,오전 9:22:42,2.1,50.04
247,4,오전 9:22:47,2.11,50.11
248,4,오전 9:22:52,2.2,50.31
249,4,오전 9:22:57,2.23,50.35
250,4,오전 9:23:02,2.26,50.41
251,4,오전 9:23:07,2.27,50.45
252,4,오전 9:23:12,2.29,50.53
253,4,오전 9:23:17,2.34,50.59
254,4,오전 9:23:22,2.44,50.64
255,4,오전 9:23:27,2.47,50.64
256,4,오전 9:23:32,2.47,50.66
257,4,오전 9:23:37,2.5,50.67
258,4,오전 9:23:42,2.51,50.71
259,4,오전 9:23:47,2.51,50.71
260,4,오전 9:23:52,2.56,50.87
261,4,오전 9:23:57,2.56,50.92
262,4,오전 9:24:02,2.58,50.96
263,4,오전 9:24:07,2.67,51.01
264,4,오전 9:24:12,2.67,51.01
265,4,오전 9:24:17,2.75,51.03
266,4,오전 9:24:22,2.75,51.12
267,4,오전 9:24:27,2.76,51.14
268,4,오전 9:24:32,2.78,51.18
269,4,오전 9:24:37,2.81,51.19
270,4,오전 9:24:42,2.88,51.23
271,4,오전 9:24:47,2.88,51.42
272,4,오전 9:24:52,2.91,51.46
273,4,오전 9:24:57,2.95,51.64
274,4,오전 9:25:02,2.97,51.7
275,4,오전 9:25:07,2.97,51.78
276,4,오전 9:25:12,2.97,51.86
277,5,오전 9:25:37,1.02,47.78
278,5,오전 9:25:42,1.09,47.79
279,5,오전 9:25:47,1.09,48.24
280,5,오전 9:25:52,1.11,48.27
281,5,오전 9:25:57,1.14,48.39
282,5,오전 9:26:02,1.14,48.46
283,5,오전 9:26:07,1.24,48.53
284,5,오전 9:26:12,1.3,48.58
285,5,오전 9:26:17,1.31,48.72
286,5,오전 9:26:22,1.37,48.74
287,5,오전 9:26:27,1.41,48.81
288,5,오전 9:26:32,1.43,48.82
289,5,오전 9:26:37,1.44,48.83
290,5,오전 9:26:42,1.51,48.95
291,5,오전 9:26:47,1.51,48.97
292,5,오전 9:26:52,1.54,49.01
293,5,오전 9:26:57,1.6,49.01
294,5,오전 9:27:02,1.64,49.28
295,5,오전 9:27:07,1.65,49.28
296,5,오전 9:27:12,1.66,49.31
297,5,오전 9:27:17,1.7,49.33
298,5,오전 9:27:22,1.73,49.36
299,5,오전 9:27:27,1.73,49.38
300,5,오전 9:27:32,1.79,49.38
301,5,오전 9:27:37,1.82,49.42
302,5,오전 9:27:42,1.83,49.43
303,5,오전 9:27:47,1.83,49.45
304,5,오전 9:27:52,1.88,49.52
305,5,오전 9:27:57,1.92,49.54
306,5,오전 9:28:02,1.93,49.56
307,5,오전 9:28:07,2.04,49.62
308,5,오전 9:28:12,2.06,49.63
309,5,오전 9:28:17,2.07,49.64
310,5,오전 9:28:22,2.07,49.66
311,5,오전 9:28:27,2.16,49.67
312,5,오전 9:28:32,2.17,49.7
313,5,오전 9:28:37,2.26,49.7
314,5,오전 9:28:42,2.27,49.71
315,5,오전 9:28:47,2.29,49.74
316,5,오전 9:28:52,2.29,49.84
317,5,오전 9:28:57,2.32,49.84
318,5,오전 9:29:02,2.32,49.94
319,5,오전 9:29:07,2.35,50.02
320,5,오전 9:29:12,2.37,50.02
321,5,오전 9:29:17,2.38,50.08
322,5,오전 9:29:22,2.41,50.11
323,5,오전 9:29:27,2.41,50.15
324,5,오전 9:29:32,2.42,50.16
325,5,오전 9:29:37,2.42,50.16
326,5,오전 9:29:42,2.42,50.25
327,5,오전 9:29:47,2.43,50.33
328,5,오전 9:29:52,2.46,50.35
329,5,오전 9:29:57,2.46,50.45
330,5,오전 9:30:02,2.47,50.5
331,5,오전 9:30:07,2.5,50.62
332,5,오전 9:30:12,2.54,50.73
333,5,오전 9:30:17,2.6,50.82
334,5,오전 9:30:22,2.62,50.84
335,5,오전 9:30:27,2.66,50.88
336,5,오전 9:30:32,2.67,50.91
337,5,오전 9:30:37,2.67,50.98
338,5,오전 9:30:42,2.68,51.05
339,5,오전 9:30:47,2.73,51.17
340,5,오전 9:30:52,2.76,51.18
341,5,오전 9:30:57,2.78,51.27
342,5,오전 9:31:02,2.82,51.27
343,5,오전 9:31:07,2.84,51.39
344,5,오전 9:31:12,2.91,52.14
345,5,오전 9:31:17,2.98,52.31
346,6,오전 9:31:32,1.01,48.34
347,6,오전 9:31:37,1.18,48.39
348,6,오전 9:31:42,1.18,48.59
349,6,오전 9:31:47,1.22,48.63
350,6,오전 9:31:52,1.28,48.7
351,6,오전 9:31:57,1.29,48.74
352,6,오전 9:32:02,1.34,48.77
353,6,오전 9:32:07,1.37,49.01
354,6,오전 9:32:12,1.4,49.01
355,6,오전 9:32:17,1.41,49.06
356,6,오전 9:32:22,1.49,49.16
357,6,오전 9:32:27,1.51,49.19
358,6,오전 9:32:32,1.55,49.2
359,6,오전 9:32:37,1.56,49.23
360,6,오전 9:32:42,1.56,49.29
361,6,오전 9:32:47,1.59,49.29
362,6,오전 9:32:52,1.61,49.37
363,6,오전 9:32:57,1.63,49.43
364,6,오전 9:33:02,1.66,49.43
365,6,오전 9:33:07,1.67,49.61
366,6,오전 9:33:12,1.67,49.63
367,6,오전 9:33:17,1.7,49.65
368,6,오전 9:33:22,1.72,49.68
369,6,오전 9:33:27,1.73,49.69
370,6,오전 9:33:32,1.74,49.74
371,6,오전 9:33:37,1.74,49.77
372,6,오전 9:33:42,1.76,49.77
373,6,오전 9:33:47,1.8,49.79
374,6,오전 9:33:52,1.86,49.81
375,6,오전 9:33:57,1.88,49.99
376,6,오전 9:34:02,1.92,50.06
377,6,오전 9:34:07,1.92,50.08
378,6,오전 9:34:12,1.93,50.08
379,6,오전 9:34:17,1.93,50.08
380,6,오전 9:34:22,1.96,50.15
381,6,오전 9:34:27,1.97,50.19
382,6,오전 9:34:32,1.98,50.26
383,6,오전 9:34:37,1.99,50.28
384,6,오전 9:34:42,2.02,50.29
385,6,오전 9:34:47,2.07,50.3
386,6,오전 9:34:52,2.1,50.31
387,6,오전 9:34:57,2.13,50.36
388,6,오전 9:35:02,2.24,50.36
389,6,오전 9:35:07,2.25,50.43
390,6,오전 9:35:12,2.28,50.43
391,6,오전 9:35:17,2.38,50.47
392,6,오전 9:35:22,2.39,50.51
393,6,오전 9:35:27,2.39,50.57
394,6,오전 9:35:32,2.39,50.59
395,6,오전 9:35:37,2.39,50.6
396,6,오전 9:35:42,2.44,50.65
397,6,오전 9:35:47,2.44,50.66
398,6,오전 9:35:52,2.48,50.7
399,6,오전 9:35:57,2.49,50.7
400,6,오전 9:36:02,2.51,50.72
401,6,오전 9:36:07,2.51,50.8
402,6,오전 9:36:12,2.52,50.85
403,6,오전 9:36:17,2.55,50.85
404,6,오전 9:36:22,2.59,50.9
405,6,오전 9:36:27,2.61,51.18
406,6,오전 9:36:32,2.62,51.22
407,6,오전 9:36:37,2.63,51.22
408,6,오전 9:36:42,2.71,51.25
409,6,오전 9:36:47,2.73,51.31
410,6,오전 9:36:52,2.77,51.57
411,6,오전 9:36:57,2.78,51.68
412,6,오전 9:37:02,2.8,51.69
413,6,오전 9:37:07,2.88,51.98
414,6,오전 9:37:12,2.99,52.11
415,7,오전 9:37:27,1.01,47.6
416,7,오전 9:37:32,1.09,47.62
417,7,오전 9:37:37,1.15,48.07
418,7,오전 9:37:42,1.18,48.17
419,7,오전 9:37:47,1.26,48.2
