Index,LoT,Time,pH,Temp
1,1,오전 9:01:10,1.04,47.43
2,1,오전 9:01:15,1.17,48.11
3,1,오전 9:01:20,1.26,48.13
4,1,오전 9:01:25,1.32,48.13
5,1,오전 9:01:30,1.37,48.32
6,1,오전 9:01:35,1.38,48.32
7,1,오전 9:01:40,1.39,48.39
8,1,오전 9:01:45,1.4,48.5
9,1,오전 9:01:50,1.46,48.69
10,1,오전 9:01:55,1.47,48.72
11,1,오전 9:02:00,1.51,48.81
12,1,오전 9:02:05,1.54,48.94
13,1,오전 9:02:10,1.6,48.95
14,1,오전 9:02:15,1.62,48.97
15,1,오전 9:02:20,1.66,49.02
16,1,오전 9:02:25,1.7,49.09
17,1,오전 9:02:30,1.72,49.1
18,1,오전 9:02:35,1.72,49.1
19,1,오전 9:02:40,1.76,49.16
20,1,오전 9:02:45,1.76,49.35
21,1,오전 9:02:50,1.82,49.39
22,1,오전 9:02:55,1.82,49.39
23,1,오전 9:03:00,1.83,49.4
24,1,오전 9:03:05,1.86,49.41
25,1,오전 9:03:10,1.87,49.46
26,1,오전 9:03:15,1.98,49.48
27,1,오전 9:03:20,2,49.5
28,1,오전 9:03:25,2.01,49.5
29,1,오전 9:03:30,2.1,49.57
30,1,오전 9:03:35,2.13,49.63
31,1,오전 9:03:40,2.13,49.67
32,1,오전 9:03:45,2.16,49.76
33,1,오전 9:03:50,2.18,49.76
34,1,오전 9:03:55,2.19,49.77
35,1,오전 9:04:00,2.19,49.8
36,1,오전 9:04:05,2.2,49.86
37,1,오전 9:04:10,2.2,49.86
38,1,오전 9:04:15,2.23,49.87
39,1,오전 9:04:20,2.23,49.87
40,1,오전 9:04:25,2.27,49.92
41,1,오전 9:04:30,2.29,49.94
42,1,오전 9:04:35,2.29,49.97
43,1,오전 9:04:40,2.32,50
44,1,오전 9:04:45,2.34,50.01
45,1,오전 9:04:50,2.34,50.06
46,1,오전 9:04:55,2.35,50.1
47,1,오전 9:05:00,2.37,50.15
48,1,오전 9:05:05,2.37,50.19
49,1,오전 9:05:10,2.37,50.22
50,1,오전 9:05:15,2.4,50.31
51,1,오전 9:05:20,2.41,50.36
52,1,오전 9:05:25,2.45,50.41
53,1,오전 9:05:30,2.59,50.45
54,1,오전 9:05:35,2.62,50.49
55,1,오전 9:05:40,2.62,50.6
56,1,오전 9:05:45,2.64,50.61
57,1,오전 9:05:51,2.68,50.62
58,1,오전 9:05:56,2.68,50.66
59,1,오전 9:06:01,2.76,50.76
60,1,오전 9:06:06,2.78,50.93
61,1,오전 9:06:11,2.8,51.09
62,1,오전 9:06:16,2.81,51.13
63,1,오전 9:06:21,2.86,51.2
64,1,오전 9:06:26,2.86,51.36
65,1,오전 9:06:31,3.72,40.76
66,1,오전 9:06:36,3.91,42.23
67,1,오전 9:06:41,3.72,40.66
68,1,오전 9:06:46,3.18,41.06
69,1,오전 9:06:51,3.77,42.88
70,2,오전 9:07:20,1.01,47.47
71,2,오전 9:07:25,1.03,48.12
72,2,오전 9:07:30,1.03,48.28
73,2,오전 9:07:35,1.04,48.33
74,2,오전 9:07:40,1.06,48.37
75,2,오전 9:07:45,1.09,48.5
76,2,오전 9:07:50,1.1,48.6
77,2,오전 9:07:55,1.13,48.66
78,2,오전 9:08:00,1.15,48.71
79,2,오전 9:08:05,1.15,48.74
80,2,오전 9:08:10,1.19,48.75
81,2,오전 9:08:15,1.23,48.87
82,2,오전 9:08:20,1.24,48.9
83,2,오전 9:08:25,1.28,48.96
84,2,오전 9:08:30,1.35,49
85,2,오전 9:08:35,1.41,49.03
86,2,오전 9:08:40,1.43,49.12
87,2,오전 9:08:45,1.44,49.2
88,2,오전 9:08:50,1.51,49.32
89,2,오전 9:08:55,1.59,49.33
90,2,오전 9:09:00,1.63,49.37
91,2,오전 9:09:05,1.64,49.46
92,2,오전 9:09:10,1.67,49.46
