Index,LoT,Time,pH,Temp
1,1,오전 9:01:37,1.03,47.09
2,1,오전 9:01:42,1.04,47.97
3,1,오전 9:01:47,1.08,48.15
4,1,오전 9:01:52,1.09,48.4
5,1,오전 9:01:57,1.1,48.48
6,1,오전 9:02:02,1.1,48.48
7,1,오전 9:02:07,1.15,48.55
8,1,오전 9:02:12,1.23,48.62
9,1,오전 9:02:17,1.27,48.8
10,1,오전 9:02:22,1.37,48.9
11,1,오전 9:02:28,1.39,48.93
12,1,오전 9:02:33,1.39,48.94
13,1,오전 9:02:38,1.43,48.94
14,1,오전 9:02:43,1.46,48.95
15,1,오전 9:02:48,1.47,49.02
16,1,오전 9:02:53,1.47,49.08
17,1,오전 9:02:58,1.51,49.14
18,1,오전 9:03:03,1.51,49.19
19,1,오전 9:03:08,1.56,49.25
20,1,오전 9:03:13,1.58,49.33
21,1,오전 9:03:18,1.62,49.41
22,1,오전 9:03:23,1.7,49.45
23,1,오전 9:03:28,1.73,49.47
24,1,오전 9:03:33,1.74,49.49
25,1,오전 9:03:38,1.76,49.51
26,1,오전 9:03:43,1.77,49.53
27,1,오전 9:03:48,1.79,49.61
28,1,오전 9:03:53,1.79,49.67
29,1,오전 9:03:58,1.81,49.69
30,1,오전 9:04:03,1.83,49.73
31,1,오전 9:04:09,1.85,49.74
32,1,오전 9:04:14,1.88,49.91
33,1,오전 9:04:19,1.9,49.92
34,1,오전 9:04:24,1.91,49.98
35,1,오전 9:04:29,1.94,49.98
36,1,오전 9:04:34,1.95,49.99
37,1,오전 9:04:39,1.96,50.06
38,1,오전 9:04:44,1.96,50.07
39,1,오전 9:04:49,2.06,50.09
40,1,오전 9:04:54,2.12,50.1
41,1,오전 9:04:59,2.2,50.17
42,1,오전 9:05:04,2.2,50.18
43,1,오전 9:05:09,2.2,50.24
44,1,오전 9:05:14,2.29,50.39
45,1,오전 9:05:19,2.31,50.44
46,1,오전 9:05:24,2.32,50.47
47,1,오전 9:05:29,2.32,50.5
48,1,오전 9:05:34,2.32,50.53
49,1,오전 9:05:39,2.38,50.58
50,1,오전 9:05:44,2.39,50.59
51,1,오전 9:05:50,2.4,50.71
52,1,오전 9:05:55,2.4,50.76
53,1,오전 9:06:00,2.47,50.79
54,1,오전 9:06:05,2.47,50.81
55,1,오전 9:06:10,2.49,50.96
56,1,오전 9:06:15,2.49,51.03
57,1,오전 9:06:20,2.53,51.03
58,1,오전 9:06:25,2.57,51.03
59,1,오전 9:06:30,2.59,51.07
60,1,오전 9:06:35,2.62,51.28
61,1,오전 9:06:40,2.62,51.3
62,1,오전 9:06:45,2.71,51.32
63,1,오전 9:06:50,2.71,51.42
64,1,오전 9:06:55,2.72,51.55
65,1,오전 9:07:00,3.53,42.67
66,1,오전 9:07:05,3.48,42.4
67,1,오전 9:07:10,3.47,42.21
68,1,오전 9:07:15,3.49,43.27
69,1,오전 9:07:20,3.09,42.37
70,2,오전 9:07:52,1.09,47.63
71,2,오전 9:07:57,1.12,47.92
72,2,오전 9:08:02,1.15,48.01
73,2,오전 9:08:07,1.2,48.07
74,2,오전 9:08:12,1.23,48.19
75,2,오전 9:08:17,1.3,48.25
76,2,오전 9:08:22,1.33,48.27
77,2,오전 9:08:27,1.4,48.39
78,2,오전 9:08:32,1.42,48.78
79,2,오전 9:08:37,1.46,48.8
80,2,오전 9:08:42,1.47,48.81
81,2,오전 9:08:47,1.49,48.82
82,2,오전 9:08:52,1.51,48.86
83,2,오전 9:08:57,1.53,48.9
84,2,오전 9:09:02,1.57,49
85,2,오전 9:09:07,1.58,49.06
86,2,오전 9:09:12,1.59,49.07
87,2,오전 9:09:17,1.59,49.12
88,2,오전 9:09:22,1.59,49.14
89,2,오전 9:09:27,1.59,49.27
90,2,오전 9:09:32,1.62,49.29
91,2,오전 9:09:37,1.65,49.34
92,2,오전 9:09:42,1.71,49.34
93,2,오전 9:09:47,1.72,49.45
94,2,오전 9:09:52,1.72,49.46
95,2,오전 9:09:57,1.73,49.46
96,2,오전 9:10:02,1.82,49.47
97,2,오전 9:10:07,1.94,49.49
98,2,오전 9:10:12,1.98,49.57
99,2,오전 9:10:17,1.98,49.65
100,2,오전 9:10:22,2,49.67
101,2,오전 9:10:27,2,49.7
102,2,오전 9:10:32,2.03,49.7
103,2,오전 9:10:37,2.04,49.71
104,2,오전 9:10:42,2.04,49.73
105,2,오전 9:10:47,2.06,49.75
106,2,오전 9:10:52,2.08,49.84
107,2,오전 9:10:57,2.1,49.9
108,2,오전 9:11:02,2.13,49.93
109,2,오전 9:11:07,2.16,49.95
