Index,LoT,Time,pH,Temp
1,1,오전 9:01:42,1.05,47.81
2,1,오전 9:01:47,1.15,48.22
3,1,오전 9:01:52,1.15,48.25
4,1,오전 9:01:57,1.2,48.26
5,1,오전 9:02:02,1.25,48.35
6,1,오전 9:02:07,1.3,48.36
7,1,오전 9:02:12,1.34,48.39
8,1,오전 9:02:17,1.43,48.61
9,1,오전 9:02:22,1.6,48.71
10,1,오전 9:02:27,1.63,49.05
11,1,오전 9:02:32,1.63,49.26
12,1,오전 9:02:37,1.65,49.28
13,1,오전 9:02:42,1.66,49.32
14,1,오전 9:02:47,1.67,49.34
15,1,오전 9:02:52,1.68,49.34
16,1,오전 9:02:57,1.72,49.42
17,1,오전 9:03:02,1.75,49.47
18,1,오전 9:03:07,1.8,49.5
19,1,오전 9:03:12,1.81,49.52
20,1,오전 9:03:17,1.85,49.62
21,1,오전 9:03:22,1.85,49.62
22,1,오전 9:03:27,1.85,49.63
23,1,오전 9:03:32,1.87,49.65
24,1,오전 9:03:37,1.88,49.69
25,1,오전 9:03:42,1.89,49.69
26,1,오전 9:03:47,1.92,49.75
27,1,오전 9:03:52,1.92,49.79
28,1,오전 9:03:57,1.92,49.81
29,1,오전 9:04:02,1.96,49.84
30,1,오전 9:04:07,2.02,49.86
31,1,오전 9:04:12,2.04,49.86
32,1,오전 9:04:17,2.05,49.87
33,1,오전 9:04:22,2.06,49.96
34,1,오전 9:04:27,2.09,49.97
35,1,오전 9:04:32,2.11,49.98
36,1,오전 9:04:37,2.12,50
37,1,오전 9:04:42,2.14,50.01
38,1,오전 9:04:47,2.19,50.01
39,1,오전 9:04:52,2.2,50.05
40,1,오전 9:04:57,2.21,50.1
41,1,오전 9:05:02,2.22,50.11
42,1,오전 9:05:07,2.25,50.12
43,1,오전 9:05:13,2.25,50.23
44,1,오전 9:05:18,2.25,50.24
45,1,오전 9:05:23,2.3,50.3
46,1,오전 9:05:28,2.3,50.31
47,1,오전 9:05:33,2.31,50.36
48,1,오전 9:05:38,2.37,50.49
49,1,오전 9:05:43,2.41,50.49
50,1,오전 9:05:48,2.43,50.59
51,1,오전 9:05:53,2.44,50.61
52,1,오전 9:05:58,2.45,50.74
53,1,오전 9:06:03,2.48,50.76
54,1,오전 9:06:08,2.48,50.77
55,1,오전 9:06:13,2.5,50.82
56,1,오전 9:06:18,2.62,50.83
57,1,오전 9:06:23,2.65,50.85
58,1,오전 9:06:28,2.65,50.93
59,1,오전 9:06:33,2.65,51.04
60,1,오전 9:06:38,2.65,51.04
61,1,오전 9:06:43,2.69,51.29
62,1,오전 9:06:48,2.7,51.31
63,1,오전 9:06:53,2.71,51.33
64,1,오전 9:06:58,2.72,51.34
65,1,오전 9:07:03,2.75,51.41
66,1,오전 9:07:08,2.75,51.45
67,1,오전 9:07:13,2.84,51.5
68,1,오전 9:07:18,2.96,51.57
69,1,오전 9:07:23,2.99,51.63
70,2,오전 9:07:55,1.02,48.44
71,2,오전 9:08:00,1.04,48.51
72,2,오전 9:08:05,1.05,48.51
73,2,오전 9:08:10,1.05,48.85
74,2,오전 9:08:15,1.07,48.86
75,2,오전 9:08:20,1.1,48.88
76,2,오전 9:08:25,1.11,48.97
77,2,오전 9:08:30,1.17,48.99
78,2,오전 9:08:35,1.2,49
79,2,오전 9:08:40,1.23,49.01
80,2,오전 9:08:45,1.23,49.06
81,2,오전 9:08:50,1.32,49.12
82,2,오전 9:08:55,1.4,49.15
83,2,오전 9:09:00,1.41,49.25
84,2,오전 9:09:05,1.49,49.33
85,2,오전 9:09:10,1.57,49.34
86,2,오전 9:09:15,1.58,49.4
87,2,오전 9:09:20,1.62,49.43
88,2,오전 9:09:25,1.64,49.54
89,2,오전 9:09:30,1.66,49.6
90,2,오전 9:09:35,1.68,49.6
91,2,오전 9:09:40,1.69,49.64
92,2,오전 9:09:45,1.72,49.66
93,2,오전 9:09:50,1.73,49.68
94,2,오전 9:09:55,1.77,49.68
95,2,오전 9:10:00,1.82,49.68
96,2,오전 9:10:05,1.84,49.69
97,2,오전 9:10:10,1.91,49.77
98,2,오전 9:10:15,1.92,49.79
99,2,오전 9:10:20,1.93,49.82
100,2,오전 9:10:25,1.99,49.88
101,2,오전 9:10:30,2,49.94
102,2,오전 9:10:35,2.02,49.97
103,2,오전 9:10:40,2.04,50.05
104,2,오전 9:10:45,2.05,50.08
105,2,오전 9:10:50,2.06,50.11
106,2,오전 9:10:55,2.07,50.13
107,2,오전 9:11:00,2.1,50.14
108,2,오전 9:11:05,2.1,50.15
109,2,오전 9:11:10,2.16,50.19
110,2,오전 9:11:15,2.19,50.19
111,2,오전 9:11:20,2.2,50.23
112,2,오전 9:11:26,2.2,50.38
113,2,오전 9:11:31,2.24,50.41
