iter	RMSE
296	2.427534092
297	2.427467108
298	2.427467108
299	2.427467001
300	2.427464961
301	2.427465069
302	2.42738402
303	2.427361906
304	2.427013631
305	2.426925481
306	2.42692226
307	2.42685526
308	2.426436571
309	2.426436142
310	2.426431846
311	2.426431524
312	2.426372135
313	2.426370631
314	2.426370953
315	2.426370739
316	2.426370739
317	2.426366121
318	2.426366013
319	2.426364832
320	2.42635914
321	2.426358818
322	2.426336157
323	2.426334009
324	2.426314033
325	2.426313711
326	2.425969046
327	2.425962708
328	2.425962064
329	2.425962171
330	2.425961849
331	2.425960667
332	2.42595476
333	2.425953256
334	2.425951108
335	2.425884295
336	2.425883865
337	2.425883543
338	2.425781602
339	2.425749483
340	2.425749483
341	2.425749483
342	2.425749483
343	2.425748516
344	2.425748408
345	2.425748516
346	2.425748408
347	2.425748408
348	2.425733584
349	2.4257208
350	2.425720586
351	2.4253421
352	2.4253421
353	2.42534081
354	2.425340918
355	2.425340918
356	2.425336513
357	2.425336405
358	2.425191355
359	2.425190925
360	2.425190495
361	2.425190495
362	2.425190173
363	2.425190281
364	2.425190066
365	2.425188776
366	2.425188776
367	2.425186842
368	2.424761096
369	2.424760988
370	2.424760988
371	2.424759698
372	2.424758946
373	2.424758946
374	2.424757872
375	2.424754647
376	2.424753143
377	2.424752606
378	2.424751209
379	2.424750671
380	2.424749274
381	2.424747447
382	2.424747125
383	2.424747017
384	2.424744116
385	2.424742826
386	2.42473885
387	2.424737668
388	2.4247367
389	2.424735626
390	2.424735411
391	2.424719183
392	2.424717678
393	2.424716281
394	2.424716174
395	2.424715422
396	2.424714562
397	2.424714132
398	2.424714025
399	2.42470446
400	2.42470317
401	2.42470274
402	2.42470274
403	2.424702418
404	2.424636861
405	2.424635571
406	2.424635356
407	2.424635248
408	2.424635034
409	2.424634926
410	2.424634819
411	2.424634174
412	2.424632024
413	2.424631917
414	2.424631379
415	2.424631379
416	2.424631164
417	2.424630842
418	2.42463052
419	2.42463009
420	2.42462966
421	2.424629337
422	2.424629123
423	2.424628693
424	2.424628263
425	2.424627725
426	2.424627618
427	2.424627618
428	2.424627188
429	2.424627403
430	2.424626758
431	2.424626006
432	2.424625468
433	2.424625361
434	2.424625039
435	2.424624716
436	2.424619557
437	2.424619557
438	2.424619235
439	2.424619128
440	2.424618913
441	2.424618913
442	2.424618375
443	2.424618375
444	2.424617945
445	2.424617838
446	2.424617515
447	2.424617408
448	2.4246173
449	2.424617408
450	2.424616763
451	2.424616763
452	2.424616548
453	2.424616226
454	2.424616118
455	2.424616226
456	2.424616011
457	2.424615903
458	2.424615796
459	2.424615796
460	2.424615581
461	2.424615688
462	2.424615366
463	2.424615366
464	2.424615473
465	2.424615151
466	2.424615044
467	2.424615258
468	2.424615044
469	2.424615044
470	2.424614936
471	2.424614829
472	2.424614721
473	2.424614399
474	2.424614506
475	2.424614614
476	2.424605801
477	2.424605586
478	2.424605478
479	2.424605586
480	2.424605478
481	2.424605371
482	2.424605478
483	2.424605156
484	2.424605263
485	2.424605048
486	2.424605156
487	2.424604834
488	2.424604834
489	2.424605048
490	2.424604941
491	2.424604941
492	2.424604726
493	2.424604619
494	2.424604834
495	2.424604511
496	2.424604511
497	2.424604511
498	2.424604511
499	2.424604296
500	2.424604296
501	2.424604404
502	2.424604404
503	2.424604296
504	2.424604404
505	2.424603974
506	2.424604296
507	2.424604189
508	2.424604081
509	2.424603974
510	2.424603651
511	2.424603866
512	2.424603759
513	2.424603651
514	2.424603544
515	2.424603544
516	2.424603544
517	2.424603759
518	2.424602684
519	2.424602362
520	2.424602469
521	2.424602362
522	2.424602684
523	2.424602469
524	2.424602577
525	2.424602039
526	2.424602469
527	2.424602147
528	2.424602147
529	2.424602254
530	2.424602254
531	2.424602039
532	2.424602147
533	2.424602254
534	2.424602147
535	2.424602147
536	2.424602039
537	2.424602147
538	2.424602254
539	2.424601932
540	2.424602039
541	2.424602039
542	2.424601932
543	2.424602147
544	2.424601932
545	2.424601932
546	2.424601932
547	2.424601932
548	2.424602039
549	2.424601609
550	2.424601824
551	2.424601609
552	2.424601932
553	2.424601394
554	2.424601609
555	2.424601502
556	2.424601287
557	2.424601609
558	2.424601394
559	2.424601287
560	2.424601287
561	2.424601287
562	2.424601287
563	2.424601502
564	2.424601287
565	2.424601394
566	2.424601394
567	2.424601179
568	2.424601287
569	2.424601394
570	2.424600964
571	2.424600964
572	2.424600964
573	2.424601072
574	2.424600857
575	2.424600857
576	2.424601072
577	2.424600964
578	2.424600964
579	2.424600642
580	2.42460075
581	2.424600964
582	2.42460075
583	2.424600535
584	2.424600535
585	2.424600535
586	2.424600535
587	2.424600427
588	2.424600427
589	2.42460032
590	2.42460032
591	2.42460032
592	2.42460032
593	2.424600105
594	2.424600105
595	2.42460032
596	2.42460032
597	2.424599997
598	2.424600427
599	2.42460032
600	2.424597955
601	2.42459817
602	2.424597955
603	2.42459817
604	2.42459817
605	2.424598063
606	2.42459817
607	2.424597955
608	2.42459817
609	2.424598063
610	2.42459817
611	2.42459817
612	2.424597955
613	2.424351289
614	2.424351289
615	2.424351289
616	2.424351504
617	2.424351397
618	2.424351504
619	2.424351504
620	2.424351182
621	2.424351074
622	2.424351182
623	2.424351074
624	2.424350967
625	2.424351074
626	2.424350967
627	2.424350967
628	2.424350859
629	2.424350967
630	2.424350967
631	2.424350859
632	2.424350644
633	2.424350752
634	2.424349462
635	2.42434957
636	2.424349355
637	2.424349247
638	2.424319044
639	2.424319044
640	2.424124593
641	2.42406504
642	2.423969365
643	2.42396915
644	2.42396915
645	2.423915291
646	2.423915183
647	2.423914
648	2.423512223
649	2.423512115
650	2.423429214
651	2.423429429
652	2.423252542
653	2.423251467
654	2.42325136
655	2.423250607
656	2.423250607
657	2.423250284
658	2.423249854
659	2.423236412
660	2.42323566
661	2.423235767
662	2.423183075
663	2.423171783
664	2.423171461
665	2.423171138
666	2.423169095
667	2.423169095
668	2.423168342
669	2.423168234
670	2.422779025
671	2.422777734
672	2.422777304
673	2.422776766
674	2.422681363
675	2.422680933
676	2.422680287
677	2.422641888
678	2.422606393
679	2.422606285
680	2.422606285
681	2.42260607
682	2.422602843
683	2.422602736
684	2.422602628
685	2.422602413
686	2.422602413
687	2.422601983
688	2.422602198
689	2.42260166
690	2.422570144
691	2.422569176
692	2.422565841
693	2.422564551
694	2.422564336
695	2.422564228
696	2.422556914
697	2.422556698
698	2.422556698
699	2.422556591
700	2.422528301
701	2.422528301
702	2.422528301
703	2.422528086
704	2.422528194
705	2.422527978
706	2.422527763
707	2.422527978
708	2.42246602
709	2.422465805
710	2.422130597
711	2.422130597
712	2.422104884
713	2.422104884
714	2.422081754
715	2.422081538
716	2.422079817
717	2.422079817
718	2.422078956
719	2.422078096
720	2.422077773
721	2.422077665
722	2.422077558
723	2.422076482
724	2.422076159
725	2.422076051
726	2.422075191
727	2.422075298
728	2.422075298
729	2.422051737
730	2.422051952
731	2.421693015
732	2.421693015
733	2.421686343
734	2.421686128
735	2.421686128
736	2.421686128
737	2.421686128
738	2.421685805
739	2.421664822
740	2.421642763
741	2.421640719
742	2.421640611
743	2.421634908
744	2.421635016
745	2.421634047
746	2.421634047
747	2.421634047
748	2.42163394
749	2.421633725
750	2.421633617
751	2.421632971
752	2.421633079
753	2.421632864
754	2.421632971
755	2.421632541
756	2.421631465
757	2.421631465
758	2.421597784
759	2.421535263
760	2.421535263
761	2.421409249
762	2.421390954
763	2.421052046
764	2.421051938
765	2.42105183
766	2.421050001
767	2.420738387
768	2.420737633
769	2.420737633
770	2.420736772
771	2.420736449
772	2.420714059
773	2.420714059
774	2.420713951
775	2.420713951
776	2.420713844
777	2.420713844
778	2.420713844
779	2.420713844
780	2.420713736
781	2.420713736
782	2.420713736
783	2.420713736
784	2.420713305
785	2.420709
786	2.420709215
787	2.420709107
788	2.420705232
789	2.420692099
790	2.420692207
791	2.420691345
792	2.420689838
793	2.420688439
794	2.420656252
795	2.420636875
796	2.420619651
797	2.42061922
798	2.420619113
799	2.420619113
800	2.420618682
801	2.420578097
802	2.420577774
803	2.420577882
804	2.420577882
805	2.420573361
806	2.420569485
807	2.420065293
808	2.420065293
809	2.420064755
810	2.420064647
811	2.420064647
812	2.420064109
813	2.420064109
814	2.420064217
815	2.420064217
816	2.420064001
817	2.420047204
818	2.419969353
819	2.419969353
820	2.419969353
821	2.41996946
822	2.419969245
823	2.419969245
824	2.419969353
825	2.419969353
826	2.419969353
827	2.419969353
828	2.419969245
829	2.419969353
830	2.419969245
831	2.419969137
832	2.419969137
833	2.41996903
834	2.419968599
835	2.419968491
836	2.419968491
837	2.419968384
838	2.419967414
839	2.419967414
840	2.419966984
841	2.419966984
842	2.419967091
843	2.419967091
844	2.419966984
845	2.419966984
846	2.419966876
847	2.419966984
848	2.419966984
849	2.419967091
850	2.419927034
851	2.419927142
852	2.419927142
853	2.419663415
854	2.419663523
855	2.419663523
856	2.419663523
857	2.419663415
858	2.419663415
859	2.41966223
860	2.419662554
861	2.419662554
862	2.419662338
863	2.41966223
864	2.419662015
865	2.419661907
866	2.419638753
867	2.419638753
868	2.419638753
869	2.419638753
870	2.419638753
871	2.419638753
872	2.419638753
873	2.419638753
874	2.419638646
875	2.419638538
876	2.419638538
877	2.419638538
878	2.419638646
879	2.419638538
880	2.419638538
881	2.419638538
882	2.419638538
883	2.419638215
884	2.419638215
885	2.419638107
886	2.419638215
887	2.419637892
888	2.419637999
889	2.419637999
890	2.419637999
891	2.419637999
892	2.419637999
893	2.419637461
894	2.419637461
895	2.419637461
896	2.419637353
897	2.419636922
898	2.41963703
899	2.41963703
900	2.41963703
901	2.41963703
902	2.41963703
903	2.41963703
904	2.41963703
905	2.41963703
906	2.419617753
907	2.419617753
908	2.41961786
909	2.419617645
910	2.419586844
911	2.419586844
912	2.419586844
913	2.419586844
914	2.419586844
915	2.419586844
916	2.419586521
917	2.419586521
918	2.419586521
919	2.419564874
920	2.419564766
921	2.419564658
922	2.419564551
923	2.419564551
924	2.419564551
925	2.419564551
926	2.419564551
927	2.419554427
928	2.419554212
929	2.419553996
930	2.419554104
931	2.419554104
932	2.419401275
933	2.419380165
934	2.419380057
935	2.419379626
936	2.419379626
937	2.419370041
938	2.419369933
939	2.419369825
940	2.419369825
941	2.419369717
942	2.419369717
943	2.419369717
944	2.419369717
945	2.419369933
946	2.419369717
947	2.419369071
948	2.419369071
949	2.419368964
950	2.419368964
951	2.419368964
952	2.419368748
953	2.41934893
954	2.41934893
955	2.41934893
956	2.41934893
957	2.41934893
958	2.419349145
959	2.419348822
960	2.419299492
961	2.419299492
962	2.419299492
963	2.419299492
964	2.419299169
965	2.419299061
966	2.419299061
967	2.419298953
968	2.419298953
969	2.419298953
970	2.419298092
971	2.419297876
972	2.419297984
973	2.419297984
974	2.419297769
975	2.419297769
976	2.419274395
977	2.419274503
978	2.419251884
979	2.419251884
980	2.419228403
981	2.419228403
982	2.419228295
983	2.419228295
984	2.419228403
985	2.419228403
986	2.419228403
987	2.419228403
988	2.41922851
989	2.419228295
990	2.419228079
991	2.419227325
992	2.419227218
993	2.419227218
994	2.419145893
995	2.419145785
996	2.419142446
997	2.419142123
998	2.419137276
999	2.419137168
